                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
123,0.87798,1.0481,1.2636,0.81327,0.81402,0.87156,0.72078,0.65097,0.62282,1.1251,0.0074401,0.0074401,0.0074401
124,0.87802,1.0584,1.2651,0.81456,0.81397,0.87196,0.7215,0.65047,0.62159,1.1245,0.007426,0.007426,0.007426
125,0.87987,1.0503,1.264,0.81433,0.81536,0.87243,0.72208,0.64986,0.62048,1.1239,0.0074119,0.0074119,0.0074119
126,0.87193,1.043,1.2576,0.81334,0.81635,0.87283,0.72257,0.64949,0.61933,1.1233,0.0073977,0.0073977,0.0073977
127,0.87129,1.0405,1.2592,0.81214,0.81755,0.87322,0.72318,0.64864,0.61815,1.1225,0.0073836,0.0073836,0.0073836
128,0.8731,1.0292,1.2623,0.81233,0.81931,0.87418,0.72425,0.64744,0.61591,1.1213,0.0073553,0.0073553,0.0073553
129,0.88274,1.0379,1.2635,0.81313,0.81998,0.8747,0.72479,0.64698,0.61464,1.1208,0.0073411,0.0073411,0.0073411
130,0.87597,1.0292,1.2616,0.81371,0.81982,0.87514,0.72548,0.64636,0.61335,1.1201,0.007327,0.007327,0.007327
131,0.87597,1.0377,1.2603,0.81468,0.82005,0.87606,0.72662,0.6453,0.61066,1.1189,0.0072987,0.0072987,0.0072987
132,0.87794,1.0286,1.2607,0.81638,0.81994,0.87652,0.72732,0.64464,0.60939,1.1183,0.0072846,0.0072846,0.0072846
133,0.86732,1.0268,1.2563,0.81838,0.81909,0.87702,0.72775,0.64402,0.6084,1.1177,0.0072704,0.0072704,0.0072704
134,0.86853,1.0253,1.2583,0.81824,0.82052,0.87732,0.72846,0.64331,0.6071,1.117,0.0072563,0.0072563,0.0072563
135,0.86961,1.0295,1.2546,0.81626,0.82325,0.87774,0.72897,0.64265,0.60577,1.1163,0.0072421,0.0072421,0.0072421
136,0.87506,1.0286,1.2601,0.81623,0.82466,0.87814,0.72958,0.64203,0.60485,1.1156,0.007228,0.007228,0.007228
137,0.8713,1.0298,1.2563,0.81272,0.8277,0.87875,0.7301,0.64139,0.60364,1.1148,0.0072139,0.0072139,0.0072139
138,0.87159,1.0133,1.2546,0.81395,0.82825,0.87912,0.7307,0.64091,0.60249,1.1143,0.0071997,0.0071997,0.0071997
139,0.86798,1.0258,1.2536,0.81606,0.82726,0.87965,0.73145,0.64044,0.60152,1.1137,0.0071856,0.0071856,0.0071856
140,0.87429,1.022,1.254,0.8157,0.82747,0.88062,0.73274,0.63909,0.59887,1.1123,0.0071573,0.0071573,0.0071573
141,0.87291,1.0197,1.2552,0.81635,0.8284,0.88109,0.73325,0.63847,0.59754,1.1116,0.0071431,0.0071431,0.0071431
142,0.86531,1.0162,1.2504,0.8159,0.82959,0.88156,0.7339,0.63784,0.59628,1.111,0.007129,0.007129,0.007129
143,0.86954,1.0211,1.2501,0.82453,0.82347,0.8828,0.73478,0.63654,0.59385,1.1096,0.0071007,0.0071007,0.0071007
144,0.86167,1.0078,1.2498,0.82713,0.8225,0.88311,0.73547,0.63591,0.59243,1.1089,0.0070866,0.0070866,0.0070866
145,0.86435,1.0092,1.2472,0.82723,0.82352,0.88376,0.73627,0.63527,0.59122,1.1082,0.0070724,0.0070724,0.0070724
146,0.86743,1.0135,1.2506,0.82656,0.82501,0.88451,0.73696,0.63466,0.5899,1.1075,0.0070583,0.0070583,0.0070583
147,0.86254,1.0114,1.2497,0.8275,0.82582,0.88548,0.73844,0.6333,0.58741,1.1061,0.00703,0.00703,0.00703
